Date,Visiting,Home,Period,Time,Challenging Team,Challenge Type,Result,Link
Oct. 22,NOP,TOR,1st,2:44,TOR,Foul,Unsuccessful,https://on.nba.com/2Njm5Io
Oct. 22,NOP,TOR,3rd,2:41,NOP,Foul,Unsuccessful,https://on.nba.com/2N0exf2
Oct. 22,LAL,LAC,1st,4:56,LAL,Foul,Unsuccessful,https://on.nba.com/36sG7cu
Oct. 23,MEM,MIA,4th,4:57,MIA,Foul,Unsuccessful,https://on.nba.com/2BSBvON
Oct. 23,BOS,PHI,3rd,11:16,PHI,Foul,Unsuccessful,https://on.nba.com/2JwKQzS
Oct. 23,WAS,DAL,3rd,6:57,WAS,Foul,Unsuccessful,https://on.nba.com/36lm9jw
Oct. 23,SAC,PHX,3rd,10:03,PHX,OB,Successful,https://on.nba.com/2ozViiW
Oct. 23,DEN,POR,4th,:15,POR,Foul,Unsuccessful,https://on.nba.com/2Nswqls
Oct. 24,MIL,HOU,1st,7:24,HOU,Foul,Successful,https://on.nba.com/2BUUbgy
Oct. 24,MIL,HOU,1st,2:11,MIL,Foul,Successful,https://on.nba.com/2WtCVsA
Oct. 24,LAC,GSW,2nd,2:23,GSW,Foul,Unsuccessful,https://on.nba.com/2ouaGgA
Oct. 25,TOR,BOS,2nd,0.3,BOS,Foul,Successful,https://on.nba.com/2JwPu0D
Oct. 25,MIN,CHA,3rd,5:54,CHA,Foul,Unsuccessful,https://on.nba.com/2BTOjnW
Oct. 25,TOR,BOS,4th,1:31,TOR,Foul,Unsuccessful,https://on.nba.com/2PDg5xf
Oct. 25,NYK,BKN,4th,8:58,NYK,Foul,Unsuccessful,https://on.nba.com/2qXSRaK
Oct. 25,DAL,NOP,4th,8:28,DAL,Foul,Unsuccessful,https://on.nba.com/34ltQ7T
Oct. 25,POR,SAC,4th,6:24,SAC,GT,Unsuccessful,https://on.nba.com/2N3pHj7
Oct. 25,POR,SAC,4th,3:19,POR,Foul,Successful,https://on.nba.com/2BWHFgU
26-Oct,MIA,MIL,4th,5:54,MIL,OB,Successful,https://on.nba.com/2qXJcks
