Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
10/18/22,PHI,BOS,Defensive Foul,BOS,Challenge,,Won,4,04:12.0,https://videos.nba.com/nba/official-replay/media/trigger16_phibos_1_101822_approved_1280x720.mp4
10/18/22,LAL,GSW,Defensive Foul,GSW,Challenge,,Won,1,00:49.4,https://videos.nba.com/nba/official-replay/media/trigger16_lalgsw_1_101822_approved_1280x720.mp4
10/18/22,LAL,GSW,Offensive Foul,LAL,Challenge,,Won,3,02:39.0,https://videos.nba.com/nba/official-replay/media/trigger16_lalgsw_2_101822_approved_1280x720.mp4
10/19/22,WAS,IND,Defensive Foul,WAS,Challenge,,Lost,4,05:20.0,https://videos.nba.com/nba/official-replay/media/trigger16_wasind_1_101922_approved_1280x720.mp4
10/19/22,WAS,IND,Loose Ball Foul,IND,Challenge,,Lost,4,00:09.7,https://videos.nba.com/nba/official-replay/media/trigger16_wasind_2_101922_approved_1280x720.mp4
10/19/22,ORL,DET,Defensive Foul,DET,Challenge,,Won,4,07:05.0,https://videos.nba.com/nba/official-replay/media/trigger16_orldet_1_101922_approved_1280x720.mp4
10/19/22,ORL,DET,Defensive Foul,ORL,Challenge,,Lost,4,04:06.0,https://videos.nba.com/nba/official-replay/media/trigger16_orldet_2_101922_approved_1280x720.mp4
10/19/22,POR,SAC,Defensive Foul,SAC,Challenge,,Lost,1,00:33.5,https://videos.nba.com/nba/official-replay/media/trigger16_porsac_1_101922_approved_1280x720.mp4
10/19/22,OKC,MIN,Defensive Foul,OKC,Challenge,,Lost,2,04:29.0,https://videos.nba.com/nba/official-replay/media/trigger16_okcmin_1_101922_approved_1280x720.mp4
10/19/22,OKC,MIN,Away Team Possession,MIN,Challenge,,Won,4,01:50.0,https://videos.nba.com/nba/official-replay/media/trigger17_okcmin_1_101922_approved_1280x720.mp4
10/19/22,CLE,TOR,Defensive Foul,TOR,Challenge,,Lost,4,03:06.0,https://videos.nba.com/nba/official-replay/media/trigger16_cletor_1_101922_approved_1280x720.mp4
