Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
5/22/21,MIA,MIL,Defensive Foul,MIA,Unsuccessful,,4,03:53.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_miamil_1_052221,
5/22/21,DAL,LAC,Offensive Foul,DAL,Successful,,4,10:21.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dallac_1_052221,
5/22/21,DAL,LAC,Offensive Foul,LAC,Unsuccessful,,4,04:30.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dallac_2_052221,
5/23/21,WAS,PHI,Offensive Foul,PHI,Unsuccessful,,4,01:11.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_wasphi_1_052321,
5/23/21,LAL,PHX,Defensive Foul,LAL,Successful,,4,08:31.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_lalphx_1_052321,
5/23/21,ATL,NYK,Defensive Foul,NYK,Unsuccessful,,4,00:28.6,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_atlnyk_1_052321,
5/24/21,POR,DEN,Offensive Foul,POR,Unsuccessful,,4,09:59.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_porden_1_052421,
5/25/21,BOS,BKN,Defensive Foul,BOS,Unsuccessful,,2,10:13.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bosbkn_1_052521,
5/25/21,DAL,LAC,Defensive Foul,LAC,Unsuccessful,,4,02:57.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dallac_1_052521,
5/26/21,MEM,UTA,Defensive Foul,MEM,Unsuccessful,,2,09:10.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_memuta_1_052621,
5/27/21,PHX,LAL,Defensive Foul,LAL,Unsuccessful,,1,11:45.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxlal_1_052721,
5/27/21,DEN,POR,Offensive Foul,POR,Unsuccessful,,3,06:03.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_denpor_1_052721,
5/28/21,BKN,BOS,Defensive Foul,BOS,Unsuccessful,,4,04:43.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bknbos_1_052821,
5/28/21,BKN,BOS,Offensive Foul,BKN,Successful,,4,00:40.8,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bknbos_2_052821,
5/28/21,LAC,DAL,Loose Ball Foul,LAC,Unsuccessful,,4,02:52.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_lacdal_1_052821,
5/29/21,MIL,MIA,Offensive Foul,MIL,Unsuccessful,,4,07:34.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_milmia_1_052921,
5/30/21,NYK,ATL,Defensive Foul,ATL,Successful,,3,03:56.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_nykatl_1_053021,
5/30/21,PHX,LAL,Defensive Foul,LAL,Unsuccessful,,3,11:15.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxlal_1_053021,
5/30/21,LAC,DAL,Defensive Foul,DAL,Unsuccessful,,1,07:40.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_lacdal_1_053021,
5/30/21,LAC,DAL,Offensive Foul,LAC,Unsuccessful,,2,00:51.1,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_lacdal_2_053021,
5/31/21,PHI,WAS,Defensive Foul,PHI,Successful,,4,04:30.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phiwas_1_053121,
5/31/21,UTA,MEM,Defensive Foul,MEM,Unsuccessful,,3,04:04.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_utamem_1_053121,
6/1/21,BOS,BKN,Offensive Foul,BKN,Successful,,4,08:37.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bosbkn_1_060121,
6/1/21,BOS,BKN,Defensive Foul,BOS,Successful,,4,04:45.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bosbkn_2_060121,
6/1/21,POR,DEN,Defensive Foul,DEN,Unsuccessful,,4,00:09.8,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_porden_1_060121,
6/2/21,WAS,PHI,Away Team Ball,PHI,Successful,,3,03:02.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger17_wasphi_1_060221,
6/3/21,DEN,POR,Away Team Ball,POR,Unsuccessful,,4,05:59.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger17_denpor_1_060321,
6/3/21,PHX,LAL,Defensive Foul,LAL,Unsuccessful,,3,08:35.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxlal_1_060321,
6/5/21,MIL,BKN,Loose Ball Foul,MIL,Successful,,3,01:03.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_milbkn_1_060521,
6/6/21,ATL,PHI,Defensive Foul,PHI,Unsuccessful,,3,01:58.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_atlphi_1_060621,
6/8/21,LAC,UTA,Offensive Foul,UTA,Successful,,2,08:57.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_lacuta_1_060821,
6/10/21,BKN,MIL,Defensive Foul,BKN,Unsuccessful,,2,07:29.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bknmil_1_061021,
