Date,Visiting,Home,Period,Time,Challenging Team,Challenge Type,Result,Link
9-Oct,MIA,LAL,4th,9:05,LAL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_LAL_LA_Lakers_Offensive_Foul_Challenge_100920
6-Oct,LAL,MIA,2nd,1:40,LAL,OB,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAL_MIA_LA_Lakers_Out_of_Bounds_Challenge_100620_v2
2-Oct,MIA,LAL,1st,3:53,LAL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_LAL_LA_Lakers_Defensive_Foul_Challenge_100220
30-Sep,MIA,LAL,2nd,3:28,LAL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_LAL_LA_Lakers_Defensive_Foul_Challenge_093020
25-Sep,MIA,BOS,2nd,3:05,BOS,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_BOS_Boston_Defensive_Foul_Challenge_092520
25-Sep,MIA,BOS,4th,4:27,MIA,Foul,Unsuccessful,
24-Sep,LAL,DEN,4th,0:59,DEN,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_LAL_Denver_Defensive_Foul_Challenge_092420
23-Sep,BOS,MIA,2nd,1:59,BOS,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_MIA_Boston_Defensive_Foul_Challenge_092320
23-Sep,BOS,MIA,4th,0:29,MIA,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_MIA_Miami_Defensive_Foul_Challenge_092320
19-Sep,BOS,MIA,4th,9:13,MIA,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_MIA_Miami_Defensive_Foul_Challenge_091920
18-Sep,DEN,LAL,2nd,6:25,DEN,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_LAL_Denver_Defensive_Foul_Challenge_091820
17-Sep,MIA,BOS,3rd,9:43,MIA,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_BOS_Miami_Defensive_Foul_Challenge_091720
17-Sep,MIA,BOS,4th,11:24,BOS,OB,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_BOS_Boston_Out_of_Bounds_Challenge_091720
15-Sep,MIA,BOS,4th,6:17,MIA,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_BOS_Miami_Defensive_Foul_Challenge_091520
15-Sep,MIA,BOS,OT1,1:27,BOS,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_BOS_Boston_Defensive_Foul_Challenge_091520
12-Sep,HOU,LAL,2nd,6:20,LAL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_HOU_LAL_LA_Lakers_Offensive_Foul_Challenge_091220
