Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
4/13/22,SAS,NOP,Away Team Possession,NOP,Challenge,,Lost,4,07:07.0,https://videos.nba.com/nba/official-replay/media/trigger17_sasnop_1_041322_approved_1280x720.mp4
4/15/22,ATL,CLE,Offensive Foul,ATL,Challenge,,Won,3,08:35.0,https://videos.nba.com/nba/official-replay/media/trigger16_atlcle_1_041522_approved_1280x720.mp4
4/15/22,NOP,LAC,Defensive Foul,LAC,Challenge,,Lost,4,01:01.0,https://videos.nba.com/nba/official-replay/media/trigger16_noplac_1_041522_approved_1280x720.mp4
4/16/22,UTA,DAL,Defensive Foul,DAL,Challenge,,Won,4,09:33.0,https://videos.nba.com/nba/official-replay/media/trigger16_utadal_1_041622_approved_1280x720.mp4
4/16/22,UTA,DAL,Defensive Foul,UTA,Challenge,,Lost,4,05:34.0,https://videos.nba.com/nba/official-replay/media/trigger16_utadal_2_041622_approved_1280x720.mp4
4/16/22,MIN,MEM,Defensive Foul,MIN,Challenge,,Lost,1,04:11.0,https://videos.nba.com/nba/official-replay/media/trigger16_minmem_1_041622_approved_1280x720.mp4
4/16/22,MIN,MEM,Defensive Foul,MEM,Challenge,,Lost,4,10:58.0,https://videos.nba.com/nba/official-replay/media/trigger16_minmem_2_041622_approved_1280x720.mp4
4/16/22,TOR,PHI,Defensive Foul,TOR,Challenge,,Lost,4,09:06.0,https://videos.nba.com/nba/official-replay/media/trigger16_torphi_1_041622_approved_1280x720.mp4
4/16/22,DEN,GSW,Away Team Possession,GSW,Challenge,,Won,4,03:47.0,https://videos.nba.com/nba/official-replay/media/trigger7_dengsw_1_041622_approved_1280x720.mp4
4/18/22,TOR,PHI,Defensive Foul,TOR,Challenge,,Lost,2,04:00.0,https://videos.nba.com/nba/official-replay/media/trigger16_torphi_1_041822_approved_1280x720.mp4
4/18/22,TOR,PHI,Away Team Possession,PHI,Challenge,,Won,4,03:32.0,https://videos.nba.com/nba/official-replay/media/trigger17_torphi_1_041822_approved_1280x720.mp4
4/19/22,ATL,MIA,Away Team Possession,MIA,Challenge,,Won,4,01:59.0,https://videos.nba.com/nba/official-replay/media/trigger17_atlmia_1_041922_approved_1280x720.mp4
4/20/22,BKN,BOS,Defensive Foul,BKN,Challenge,,Lost,4,03:21.0,https://videos.nba.com/nba/official-replay/media/trigger16_bknbos_1_042022_approved_1280x720.mp4
4/20/22,PHI,TOR,Defensive Foul,PHI,Challenge,,Lost,4,00:27.5,https://videos.nba.com/nba/official-replay/media/trigger16_phitor_1_042022_approved_1280x720.mp4
4/20/22,CHI,MIL,Defensive Foul,MIL,Challenge,,Won,4,05:38.0,https://videos.nba.com/nba/official-replay/media/trigger16_chimil_1_042022_approved_1280x720.mp4
4/21/22,MEM,MIN,Offensive Foul,MIN,Challenge,,Lost,2,03:21.0,https://videos.nba.com/nba/official-replay/media/trigger16_memmin_1_042122_approved_1280x720.mp4
4/21/22,DAL,UTA,Defensive Foul,DAL,Challenge,,Lost,3,05:33.0,https://videos.nba.com/nba/official-replay/media/trigger16_daluta_1_042122_approved_1280x720.mp4
4/21/22,DAL,UTA,Defensive Foul,UTA,Challenge,,Won,3,04:14.0,https://videos.nba.com/nba/official-replay/media/trigger16_daluta_2_042122_approved_1280x720.mp4
4/22/22,MIL,CHI,Offensive Foul,MIL,Challenge,,Lost,3,06:25.0,https://videos.nba.com/nba/official-replay/media/trigger16_milchi_1_042222_approved_1280x720.mp4
4/23/22,DAL,UTA,Defensive Foul,UTA,Challenge,,Lost,4,05:13.0,https://videos.nba.com/nba/official-replay/media/trigger16_daluta_1_042322_approved_1280x720.mp4
4/23/22,BOS,BKN,Defensive Foul,BOS,Challenge,,Lost,4,05:35.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosbkn_1_042322_approved_1280x720.mp4
4/23/22,MEM,MIN,Offensive Foul,MEM,Challenge,,Won,3,07:34.0,https://videos.nba.com/nba/official-replay/media/trigger16_memmin_1_042322_approved_1280x720.mp4
4/23/22,MEM,MIN,Away Team Possession,MIN,Challenge,,Won,4,05:46.0,https://videos.nba.com/nba/official-replay/media/trigger17_memmin_1_042322_approved_1280x720.mp4
4/24/22,GSW,DEN,Defensive Foul,GSW,Challenge,,Won,1,01:41.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswden_1_042422_approved_1280x720.mp4
4/24/22,GSW,DEN,Defensive Foul,DEN,Challenge,,Won,3,05:47.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswden_2_042422_approved_1280x720.mp4
4/24/22,PHX,NOP,Defensive Foul,PHX,Challenge,,Lost,4,04:44.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxnop_1_042422_approved_1280x720.mp4
4/25/22,BOS,BKN,Offensive Foul,BOS,Challenge,,Lost,4,08:17.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosbkn_1_042522_approved_1280x720.mp4
4/26/22,MIN,MEM,Offensive Foul,MIN,Challenge,,Won,3,07:58.0,https://videos.nba.com/nba/official-replay/media/trigger16_minmem_1_042622_approved_1280x720.mp4
4/26/22,MIN,MEM,Defensive Foul,MEM,Challenge,,Won,3,01:45.0,https://videos.nba.com/nba/official-replay/media/trigger16_minmem_2_042622_approved_1280x720.mp4
4/26/22,NOP,PHX,Offensive Foul,PHX,Challenge,,Won,2,07:51.0,https://videos.nba.com/nba/official-replay/media/trigger16_nopphx_1_042622_approved_1280x720.mp4
4/27/22,CHI,MIL,Defensive Foul,CHI,Challenge,,Lost,1,00:02.4,https://videos.nba.com/nba/official-replay/media/trigger16_chimil_1_042722_approved_1280x720.mp4
4/28/22,PHX,NOP,Defensive Foul,NOP,Challenge,,Lost,3,11:24.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxnop_1_042822_approved_1280x720.mp4
4/28/22,PHX,NOP,Defensive Foul,PHX,Challenge,,Won,3,04:28.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxnop_2_042822_approved_1280x720.mp4
4/28/22,PHI,TOR,Defensive Foul,PHI,Challenge,,Won,4,03:58.0,https://videos.nba.com/nba/official-replay/media/trigger16_phitor_1_042822_approved_1280x720.mp4
5/1/22,MIL,BOS,Defensive Foul,BOS,Challenge,,Won,3,02:10.0,https://videos.nba.com/nba/official-replay/media/trigger16_milbos_1_050122_approved_1280x720.mp4
5/1/22,GSW,MEM,Offensive Foul,GSW,Challenge,,Lost,4,05:08.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswmem_1_050122_approved_1280x720.mp4
5/1/22,GSW,MEM,Away Team Possession,MEM,Challenge,,Won,4,01:17.0,https://videos.nba.com/nba/official-replay/media/trigger17_gswmem_1_050122_approved_1280x720.mp4
5/2/22,DAL,PHX,Defensive Foul,PHX,Challenge,,Lost,4,10:13.0,https://videos.nba.com/nba/official-replay/media/trigger16_dalphx_1_050222_approved_1280x720.mp4
5/2/22,DAL,PHX,Defensive Foul,DAL,Challenge,,Lost,4,00:08.2,https://videos.nba.com/nba/official-replay/media/trigger16_dalphx_2_050222_approved_1280x720.mp4
5/3/22,MIL,BOS,Defensive Foul,BOS,Challenge,,Lost,2,03:36.0,https://videos.nba.com/nba/official-replay/media/trigger16_milbos_1_050322_approved_1280x720.mp4
5/3/22,MIL,BOS,Defensive Foul,MIL,Challenge,,Lost,4,08:25.0,https://videos.nba.com/nba/official-replay/media/trigger16_milbos_2_050322_approved_1280x720.mp4
5/6/22,MIA,PHI,Defensive Foul,PHI,Challenge,,Lost,4,03:48.0,https://videos.nba.com/nba/official-replay/media/trigger16_miaphi_1_050622_approved_1280x720.mp4
5/7/22,BOS,MIL,Offensive Foul,MIL,Challenge,,Lost,1,00:38.9,https://videos.nba.com/nba/official-replay/media/trigger16_bosmil_1_050722_approved_1280x720.mp4
5/7/22,BOS,MIL,Offensive Foul,BOS,Challenge,,Lost,4,05:57.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosmil_2_050722_approved_1280x720.mp4
5/8/22,PHX,DAL,Offensive Foul,PHX,Challenge,,Lost,3,09:32.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxdal_1_050822_approved_1280x720.mp4
5/8/22,PHX,DAL,Away Team Possession,DAL,Challenge,,Lost,4,04:01.0,https://videos.nba.com/nba/official-replay/media/trigger17_phxdal_1_050822_approved_1280x720.mp4
5/9/22,BOS,MIL,Defensive Foul,MIL,Challenge,,Won,3,01:47.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosmil_1_050922_approved_1280x720.mp4
5/9/22,MEM,GSW,Defensive Foul,GSW,Challenge,,Lost,4,03:50.0,https://videos.nba.com/nba/official-replay/media/trigger16_memgsw_1_050922_approved_1280x720.mp4
5/10/22,DAL,PHX,Offensive Foul,DAL,Challenge,,Lost,3,07:56.0,https://videos.nba.com/nba/official-replay/media/trigger16_dalphx_1_051022_approved_1280x720.mp4
5/10/22,DAL,PHX,Away Team Possession,PHX,Challenge,,Won,4,04:42.0,https://videos.nba.com/nba/official-replay/media/trigger17_dalphx_1_051022_approved_1280x720.mp4
5/12/22,MIA,PHI,Defensive Foul,MIA,Challenge,,Won,3,02:07.0,https://videos.nba.com/nba/official-replay/media/trigger16_miaphi_1_051222_approved_1280x720.mp4
5/12/22,MIA,PHI,Away Team Possession,PHI,Challenge,,Lost,4,02:41.0,https://videos.nba.com/nba/official-replay/media/trigger17_miaphi_1_051222_approved_1280x720.mp4
5/12/22,PHX,DAL,Defensive Foul,DAL,Challenge,,Won,4,10:02.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxdal_1_051222_approved_1280x720.mp4
5/13/22,BOS,MIL,Defensive Foul,BOS,Challenge,,Lost,2,07:03.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosmil_1_051322_approved_1280x720.mp4
5/13/22,BOS,MIL,Offensive Foul,MIL,Challenge,,Won,4,10:16.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosmil_2_051322_approved_1280x720.mp4
5/13/22,MEM,GSW,Defensive Foul,GSW,Challenge,,Lost,2,04:26.0,https://videos.nba.com/nba/official-replay/media/trigger16_memgsw_1_051322_approved_1280x720.mp4
5/15/22,MIL,BOS,Offensive Foul,BOS,Challenge,,Lost,2,00:33.3,https://videos.nba.com/nba/official-replay/media/trigger16_milbos_1_051522_approved_1280x720.mp4
5/15/22,MIL,BOS,Offensive Foul,MIL,Challenge,,Won,3,05:05.0,https://videos.nba.com/nba/official-replay/media/trigger16_milbos_2_051522_approved_1280x720.mp4
5/15/22,DAL,PHX,Home Team Possession,DAL,Challenge,,Won,3,10:02.0,https://videos.nba.com/nba/official-replay/media/trigger17_dalphx_1_051522_approved_1280x720.mp4
5/22/22,GSW,DAL,Offensive Foul,GSW,Challenge,,Won,4,06:40.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswdal_1_052222_approved_1280x720.mp4
5/24/22,GSW,DAL,Offensive Foul,GSW,Challenge,,Lost,4,03:03.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswdal_1_052422_approved_1280x720.mp4
5/26/22,DAL,GSW,Offensive Foul,GSW,Challenge,,Lost,4,10:00.0,https://videos.nba.com/nba/official-replay/media/trigger16_dalgsw_1_052622_approved_1280x720.mp4
5/27/22,MIA,BOS,Defensive Foul,BOS,Challenge,,Lost,4,11:26.0,https://videos.nba.com/nba/official-replay/media/trigger16_miabos_1_052722_approved_1280x720.mp4
5/27/22,MIA,BOS,Defensive Foul,MIA,Challenge,,Lost,4,00:40.7,https://videos.nba.com/nba/official-replay/media/trigger16_miabos_2_052722_approved_1280x720.mp4
5/29/22,BOS,MIA,Defensive Foul,MIA,Challenge,,Won,4,09:19.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosmia_1_052922_approved_1280x720.mp4
5/29/22,BOS,MIA,Offensive Foul,BOS,Challenge,,Lost,4,00:51.1,https://videos.nba.com/nba/official-replay/media/trigger16_bosmia_2_052922_approved_1280x720.mp4
6/10/22,GSW,BOS,Defensive Foul,BOS,Challenge,,Lost,4,00:47.7,https://videos.nba.com/nba/official-replay/media/trigger16_gswbos_1_061022_approved_1280x720.mp4
6/13/22,BOS,GSW,Defensive Foul,GSW,Challenge,,Lost,4,03:01.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosgsw_1_061322_approved_1280x720.mp4
