Date,Visiting,Home,Period,Time,Challenging Team,Challenge Type,Result,Link
2-Sep,MIA,MIL,1st,9:11,MIA,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_MIL_Miami_Defensive_Foul_Challenge_090220
2-Sep,MIA,MIL,3rd,9:22,MIL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_MIL_Milwaukee_Offensive_Foul_Challenge_090220
2-Sep,OKC,HOU,4th,3:16,HOU,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Offensive_Foul_Challenge_090220
1-Sep,BOS,TOR,3rd,2:46,TOR,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_TOR_Toronto_Offensive_Foul_Challenge_090120
31-Aug,HOU,OKC,4th,0:13,HOU,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_HOU_OKC_Houston_Defensive_Foul_Challenge_083120
30-Aug,BOS,TOR,1st,4:15,TOR,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_TOR_Toronto_Defensive_Foul_Challenge_083020
30-Aug,LAC,DAL,3rd,2:35,DAL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAC_DAL_Dallas_Defensive_Foul_Challenge_083020
29-Aug,ORL,MIL,2nd,10:27,ORL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_MIL_Orlando_Defensive_Foul_Challenge_082920
29-Aug,POR,LAL,3rd,9:37,POR,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_POR_LAL_Portland_Loose_Ball_Foul_Challenge_082920
25-Aug,DAL,LAC,3rd,6:42,LAC,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DAL_LAC_LA_Clippers_Defensive_Foul_Challenge_082520
24-Aug,HOU,OKC,4th,2:52,HOU,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_HOU_OKC_Houston_Defensive_Foul_Challenge_082420
24-Aug,MIL,ORL,3rd,4:23,ORL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIL_ORL_Orlando_Loose_Ball_Foul_Challenge_082420_v2
24-Aug,LAL,POR,3rd,3:31,POR,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAL_POR_Portland_Loose_Ball_Foul_Challenge_082420
24-Aug,IND,MIA,3rd,0:37,MIA,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_IND_MIA_Miami_Defensive_Foul_Challenge_082420
24-Aug,IND,MIA,4th,10:13,IND,GT,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_IND_MIA_Indiana_Goaltending_Challenge_082420
23-Aug,BOS,PHI,4th,0:44,BOS,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_PHI_Boston_Loose_Ball_Foul_Challenge_082320
23-Aug,LAC,DAL,2nd,7:29,LAC,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAC_DAL_LA_Clippers_Defensive_Foul_Challenge_082320
22-Aug,IND,MIA,3rd,0:44,IND,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_IND_MIA_Indiana_Loose_Ball_Foul_Challenge_082220
22-Aug,IND,MIA,4th,8:10,MIA,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_IND_MIA_Miami_Defensive_Foul_Challenge_082220
22-Aug,LAL,POR,4th,0:50,LAL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAL_POR_LA_Lakers_Defensive_Foul_Coachs_Challenge_082220
21-Aug,DEN,UTA,3rd,8:29,DEN,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_UTA_Denver_Defensive_Foul_Challenge_082120
21-Aug,BOS,PHI,3rd,9:32,PHI,GT,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_PHI_Philadelphia_Goaltending_Challenge_082120
21-Aug,BOS,PHI,4th,3:12,BOS,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BOS_PHI_Boston_Defensive_Foul_Challenge_082120
21-Aug,LAC,DAL,4th,4:17,LAC,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAC_DAL_LA_Clippers_Offensive_Foul_Challenge_082120
20-Aug,OKC,HOU,2nd,3:57,HOU,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Defensive_Foul_Challenge_082020
20-Aug,OKC,HOU,3rd,7:08,OKC,OB,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Oklahoma_City_Out_Of_Bounds_Challenge_082020
20-Aug,ORL,MIL,2nd,10:53,MIL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_MIL_Milwaukee_Offensive_Foul_Challenge_082020
19-Aug,BKN,TOR,2nd,5:20,TOR,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BKN_TOR_Toronto_Defensive_Foul_Challenge_081920
19-Aug,BKN,TOR,4th,6:21,BKN,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BKN_TOR_Brooklyn_Defensive_Foul_Challenge_081920
19-Aug,PHI,BOS,1st,6:39,PHI,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_PHI_BOS_Philadelphia_Defensive_Foul_Challenge_081920
19-Aug,DAL,LAC,4th,2:36,LAC,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DAL_LAC_LA_Clippers_Defensive_Foul_Challenge_081920
18-Aug,POR,LAL,2nd,10:32,POR,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_POR_LAL_Portland_Defensive_Foul_Challenge_081820
18-Aug,POR,LAL,4th,10:00,LAL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_POR_LAL_LA_Lakers_Defensive_Foul_Challenge_081820
18-Aug,OKC,HOU,4th,7:40,HOU,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Defensive_Foul_Challenge_081820
17-Aug,BKN,TOR,1st,7:03,MIA,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_BKN_TOR_Brooklyn_Defensive_Foul_Challenge_081720
17-Aug,DAL,LAC,3rd,3:17,DAL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DAL_LAC_Dallas_Defensive_Foul_Challenge_081720
9/3/20,TOR,BOS,2nd,7:44,TOR,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_torbos_1_090320_approved_1280x720.mp4
9/3/20,DEN,LAC,4th,7:58,DEN,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_denlac_1_090320_approved_1280x720.mp4
9/4/20,HOU,LAL,4th,7:15,LAL,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_houlal_1_090420_approved_1280x720.mp4
9/5/20,TOR,BOS,4th,2:54,TOR,OB,Successful,https://videos.nba.com/nba/official-replay/media/trigger17_torbos_1_090520_approved_1280x720.mp4
9/6/20,MIL,MIA,OT1,0:45,MIA,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_milmia_1_090620_approved_1280x720.mp4
9/6/20,HOU,LAL,1st,5:34,HOU,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_houlal_1_090620_approved_1280x720.mp4
9/6/20,HOU,LAL,3rd,0:55,LAL,Foul,Successful,https://videos.nba.com/nba/official-replay/media/trigger16_houlal_2_090620_approved_1280x720.mp4
9/8/20,MIA,MIL,4th,4:25,MIA,Foul,Successful,https://videos.nba.com/nba/official-replay/media/trigger16_miamil_1_090820_approved_1280x720.mp4
9/8/20,MIA,MIL,4th,2:16,MIL,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_miamil_2_090820_approved_1280x720.mp4
9/9/20,TOR,BOS,OT2,3:07,TOR,Foul,Successful,https://videos.nba.com/nba/official-replay/media/trigger16_torbos_1_090920_approved_1280x720.mp4
9/9/20,LAC,DEN,4th,7:57,LAC,Foul,Successful,https://videos.nba.com/nba/official-replay/media/trigger16_lacden_1_090920_approved_1280x720.mp4
9/10/20,LAL,HOU,1st,1:00,HOU,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_lalhou_1_091020_approved_1280x720.mp4
9/10/20,LAL,HOU,4th,7:42,LAL,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_lalhou_2_091020_approved_1280x720.mp4
9/11/20,BOS,TOR,4th,0:35,TOR,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_bostor_1_091120_approved_1280x720.mp4
9/12/20,HOU,LAL,2nd,6:20,LAL,Foul,Unsuccessful,https://videos.nba.com/nba/official-replay/media/trigger16_houlal_1_091220_approved_1280x720.mp4
